Generator,unit_type,is_pem,output_mwh,curtailment_mwh,Unit Market Revenue,Unit Uplift Payment,Unit Cost,starts,pmax_mw
221,PV,False,27540.35,70.56,808470.88142,0.0,,,13.33333333333333
225,PV,False,25797.22,0.0,634219.49196,0.0,,,12.33333333333333
23,WIND,False,433212.54,0.0,5374426.790469,0.0,,,108.7999815821133
233,PV,False,29474.59,0.0,863341.291284,0.0,,,14.33333333333333
236,WIND,False,648318.42,0.0,14294674.088185,0.0,,,530.1000171191179
237,WIND,False,976158.98,0.0,21890464.634457,0.0,,,522.0000272874335
238,PV,False,299782.74,0.0,8422146.216337,0.0,,,136.6666666666667
24,WIND,False,762632.19,0.0,9471864.590051001,0.0,,,192.4999756230771
240,PV,False,47092.51,0.0,1320777.288333,0.0,,,22.66666666666667
245,WIND,False,578015.42,0.0,11869515.06199,0.0,,,260.0000216450519
247,WIND,False,765148.54,0.0,17277361.198074,0.0,,,572.4000116113384
248,WIND,False,100393.31,0.0,2257092.78625,0.0,,,52.4000230998023
249,WIND,False,1109825.86,0.0,22792442.858343,0.0,,,500.0000227461816
251,WIND,False,1579287.96,0.0,33891888.800644,0.0,,,1088.000014729177
252,WIND,False,1228929.23,0.0,26698796.110122,0.0,,,890.2000140444867
254,PV,False,66511.49,0.0,1891422.958381,0.0,,,32.0
255,PV,False,30484.61,0.0,866906.844066,0.0,,,14.66666666666667
258,PV,False,58250.01,0.0,1635167.908483,0.0,,,28.0
260,PV,False,23740.71,0.0,682845.582304,0.0,,,11.33333333333333
265,PV,False,288982.82,0.0,7486353.781996,0.0,,,136.6666666666667
266,WIND,False,330806.99,0.0,5168371.819028,0.0,,,96.99998812823829
267,WIND,False,407561.66,0.0,6372741.505227,0.0,,,119.1999881287208
270,WIND,False,1138303.594609,1237207.475391,13427467.846298,0.0,,,578.9999877407346
272,WIND,False,1123895.734455,209061.625545,12005693.30133,0.0,,,501.3000961526271
273,PV,False,38701.320169,66326.209831,1827483.791336,0.0,,,47.66666666666667
274,WIND,False,1686873.622336,1380530.477664,17725848.15676,0.0,,,746.3999877635443
275,WIND,False,2480263.332806,1799961.147194,24800652.375091,0.0,,,1038.999987796685
276,PV,False,21568.699996,2089.790004,526128.502971,0.0,,,10.66666666666667
277,PV,False,24797.114521,4742.545479,858617.397619,0.0,,,13.33333333333333
278,PV,False,39744.555143,7519.574857,1373105.423574,0.0,,,21.33333333333334
279,WIND,False,1292350.34498,140664.41502000001,16923410.139516,0.0,,,882.0000399863538
281,WIND,False,80300.89407,46914.14593,868896.085193,0.0,,,56.099983494724
282,PV,False,952531.661761,208114.058239,5618256.776627,0.0,,,508.3333333333334
283,HYDRO,False,480924.0,0.0,9991489.978717,0.0,,,54.9
284,HYDRO,False,473040.0,0.0,9827695.061011,0.0,,,54.0
285,HYDRO,False,946080.0,0.0,19930018.589034,0.0,,,108.0
286,HYDRO,False,508080.0,0.0,10091917.106909,0.0,,,58.0
287,HYDRO,False,700800.0,0.0,45212320.661118,0.0,,,80.0
288,HYDRO,False,148920.0,0.0,3137132.55568,0.0,,,17.0
289,HYDRO,False,120888.0,0.0,2511522.071108,0.0,,,13.8
29,PV,False,28485.26,0.0,696359.017632,0.0,,,13.33333333333333
290,HYDRO,False,346896.0,0.0,7206976.37807,0.0,,,39.6
291,HYDRO,False,267180.0,0.0,5645597.676908,0.0,,,30.5
292,HYDRO,False,367920.0,0.0,19825482.281234,0.0,,,42.0
30,PV,False,1884070.392735,231730.107265,10259603.232847,0.0,,,926.6666666666669
31,WIND,False,207847.830739,77296.699261,1944605.754238,0.0,,,124.9999837054529
32,PV,False,18357.493196,1233.126804,1714073.525077,0.0,,,9.333333333333334
33,PV,False,10282.04,0.0,301170.973002,0.0,,,5.0
34,PV,False,16450.92,0.0,481869.439786,0.0,,,8.0
35,PV,False,16450.92,0.0,481869.439786,0.0,,,8.0
36,PV,False,41552.37,0.0,1165390.672444,0.0,,,20.0
37,PV,False,19479.11,0.0,546105.316825,0.0,,,9.333333333333334
38,PV,False,25044.65,0.0,702146.528659,0.0,,,12.0
39,PV,False,16696.29,0.0,468089.986857,0.0,,,8.0
40,PV,False,16696.29,0.0,468089.986857,0.0,,,8.0
41,WIND,False,396485.31,0.0,6198893.762548,0.0,,,115.999988072925
42,PV,False,230320.55,0.0,6470667.828586,0.0,,,105.0
43,PV,False,125281.86,0.0,3527272.750302,0.0,,,60.0
46,PV,False,107385.4,0.0,2955784.944828,0.0,,,50.0
52,WIND,False,224501.082294,77883.567706,2067437.116947,0.0,,,132.4999846941916
53,WIND,False,381921.978931,99982.801069,3291789.694577,0.0,,,210.4999834245312
55,WIND,False,1941389.04,0.0,23438429.237519,0.0,,,622.9999845890748
56,PV,False,472937.271708,151147.918292,2973995.007864,0.0,,,273.3333333333334
57,PV,False,400985.619399,192656.090601,2787093.521229,0.0,,,260.0
58,PV,False,944430.047962,197188.652038,5484278.384927,0.0,,,500.0
59,PV,False,887346.612862,235245.477138,5320441.893356,0.0,,,491.6666666666667
63,WIND,False,595555.8,0.0,27629721.30364,0.0,,,169.9999881214527
64,WIND,False,700629.13,0.0,32504035.150757,0.0,,,199.9999881797006
65,WIND,False,190510.57,0.0,4138888.795563,0.0,,,138.0000138498937
67,PV,False,1164760.634766,48089.085234,23374037.706259,0.0,,,533.3333333333334
68,WIND,False,72841.688542,5938.161458,676410.606217,0.0,,,34.00008830590619
69,PV,False,10282.04,0.0,301170.973002,0.0,,,5.0
74,WIND,False,409426.11,0.0,9181823.163854,0.0,,,217.6000261932161
77,WIND,False,617524.783476,8005.4665239999995,5918629.908229,0.0,,,199.9999772775151
78,WIND,False,464755.800351,8223.549649,4467389.760963,0.0,,,151.1999769835146
79,WIND,False,268452.92635,5301.85365,2583341.906349,0.0,,,87.49998256511147
80,WIND,False,437003.709881,5645.700119,4182440.824071,0.0,,,141.4999814852966
81,WIND,False,572006.012362,6640.677638,5465108.993171,0.0,,,184.9999773299124
82,WIND,False,402769.171262,5482.618738,3855168.446341,0.0,,,130.4999825838063
83,WIND,False,899231.815571,10585.554429,8597683.008823,0.0,,,290.9999775719367
84,WIND,False,0.0,0.0,0.0,0.0,,,1.808070581387118e-05
