scenario,objective,pair,window_lo,window_hi,median_absdiff_over_floor2,max_absdiff_over_floor2,median_signed_diff
C,total_cost_less_synthetic_usd,nuclear|pv,20.0,340.5,7.994066591849221,19.45347059970252,-10516093.5624758
C,total_cost_less_synthetic_usd,nuclear|tail,20.0,251.5,9.797525291472303,19.59435180686285,-13675934.49468562
C,total_cost_less_synthetic_usd,nuclear|wind_122,35.675000000000004,400.0,8.007565067404347,18.993311354988897,-5150960.91683501
C,total_cost_less_synthetic_usd,nuclear|wind_303,42.35,400.0,8.655762453607307,18.465777310971102,-3212139.856712848
C,total_cost_less_synthetic_usd,nuclear|wind_317,39.955000000000005,400.0,7.908785455880874,18.354628756870166,-4928516.930107474
C,total_cost_less_synthetic_usd,pv|tail,6.8100000000000005,251.5,1.4015416257264248,2.7412407983752773,1956350.292016387
C,total_cost_less_synthetic_usd,pv|wind_122,35.675000000000004,340.5,0.4550191308618108,1.4356869355608373,-161214.03876626492
C,total_cost_less_synthetic_usd,pv|wind_303,42.35,340.5,1.1958613499530912,1.799170314957343,1669250.2443366647
C,total_cost_less_synthetic_usd,pv|wind_317,39.955000000000005,340.5,0.4904103964413273,1.234953934696682,377607.674094677
C,total_cost_less_synthetic_usd,tail|wind_122,35.675000000000004,251.5,1.3068514345518347,2.5442562443004744,-1824176.4202204049
C,total_cost_less_synthetic_usd,tail|wind_303,42.35,251.5,0.6029434379844063,1.0164860555392021,-841622.2175055146
C,total_cost_less_synthetic_usd,tail|wind_317,39.955000000000005,251.5,1.0236718622943406,2.379066220193088,-1428898.5142988563
C,total_cost_less_synthetic_usd,wind_122|wind_303,42.35,713.5,2.410273815400236,5.019062392344827,3364395.1746019125
C,total_cost_less_synthetic_usd,wind_122|wind_317,39.955000000000005,713.5,0.3076694590461163,1.5959273158803378,143004.13227573037
C,total_cost_less_synthetic_usd,wind_303|wind_317,42.35,799.1,2.7233362814357522,6.15730889107491,-3801385.297196746
