Date,Hour,committed_mw,num_committed
2019-01-23,9,49611.7,111
2019-01-23,10,47010.5,108
2019-01-23,11,47010.5,108
2019-01-23,12,41679.3,103
2019-01-23,13,38323.3,99
2019-01-23,14,35595.9,97
2019-01-23,15,34281.1,96
2019-01-23,16,36562.7,99
2019-01-23,17,42936.8,105
2019-01-23,18,49180.2,108
2019-01-23,19,50032.4,109
2019-01-23,20,50032.4,109
2019-01-23,21,50032.4,109
2019-01-23,22,48950.2,108
2019-01-23,23,45007.0,105
2019-01-24,0,43211.6,104
2019-01-24,1,43211.6,104
2019-01-24,2,43211.6,104
2019-01-24,3,47125.0,107
2019-01-24,4,48943.0,109
2019-01-24,5,54882.3,114
2019-01-24,6,57261.9,115
2019-01-24,7,57261.9,115
2019-01-24,8,57261.9,115
2019-01-24,9,53352.0,112
2019-01-24,10,49470.0,109
2019-01-24,11,43192.6,106
2019-01-24,12,39733.3,101
2019-01-24,13,35960.0,95
2019-01-24,14,32939.7,92
2019-01-24,15,31459.3,90
2019-01-24,16,32674.8,94
2019-01-24,17,36000.6,97
2019-01-24,18,39606.0,102
2019-01-24,19,41190.0,102
2019-01-24,20,41340.0,103
2019-01-24,21,41340.0,103
2019-01-24,22,38691.4,101
2019-01-24,23,42143.2,104
2019-01-25,0,40490.2,102
2019-01-25,1,37291.5,99
2019-01-25,2,38004.9,100
2019-01-25,3,39319.7,101
2019-01-25,4,42910.8,105
2019-01-25,5,50888.2,109
2019-01-25,6,50888.2,109
2019-01-25,7,51740.4,110
2019-01-25,8,51740.4,110
2019-01-25,9,50587.6,109
2019-01-25,10,48736.8,108
2019-01-25,11,43076.2,105
2019-01-25,12,40539.0,103
2019-01-25,13,35554.3,98
2019-01-25,14,33901.3,96
2019-01-25,15,32586.5,95
2019-01-25,16,34440.7,97
2019-01-25,17,40034.4,102
2019-01-25,18,41116.6,103
2019-01-25,19,41116.6,103
2019-01-25,20,40915.6,102
2019-01-25,21,40483.6,101
2019-01-25,22,38193.1,98
2019-01-25,23,35462.5,95
2019-01-26,0,35946.7,97
2019-01-26,1,35553.9,97
2019-01-26,2,35553.9,97
2019-01-26,3,35985.9,98
2019-01-26,4,37269.3,100
2019-01-26,5,41009.3,103
2019-01-26,6,42752.1,105
2019-01-26,7,43904.9,106
2019-01-26,8,43904.9,106
2019-01-26,9,43904.9,106
2019-01-26,10,43101.7,105
2019-01-26,11,41223.7,102
2019-01-26,12,38302.9,100
2019-01-26,13,33349.0,95
2019-01-26,14,31553.6,94
2019-01-26,15,30621.6,93
2019-01-26,16,33742.1,97
2019-01-26,17,36536.1,98
2019-01-26,18,38532.9,100
2019-01-26,19,38532.9,100
2019-01-26,20,38532.9,100
2019-01-26,21,38532.9,100
2019-01-26,22,37618.3,99
2019-01-26,23,38188.3,100
2019-01-27,0,37248.7,99
2019-01-27,1,35061.0,96
2019-01-27,2,36000.6,97
2019-01-27,3,36000.6,97
2019-01-27,4,36000.6,97
2019-01-27,5,38374.5,100
2019-01-27,6,40108.5,101
2019-01-27,7,40234.5,101
2019-01-27,8,40770.0,102
2019-01-27,9,40770.0,102
2019-01-27,10,39036.0,101
2019-01-27,11,35502.7,96
2019-01-27,12,33707.3,95
2019-01-27,13,31576.2,90
2019-01-27,14,31293.8,89
2019-01-27,15,30914.4,87
2019-01-27,16,32500.9,93
2019-01-27,17,35098.6,96
2019-01-27,18,39036.0,101
2019-01-27,19,39036.0,101
2019-01-27,20,39036.0,101
2019-01-27,21,39036.0,101
2019-01-27,22,36326.0,99
2019-01-27,23,32339.3,95
2019-01-28,0,29776.0,92
2019-01-28,1,28915.0,91
2019-01-28,2,30003.2,92
2019-01-28,3,31399.7,94
2019-01-28,4,33195.1,95
2019-01-28,5,39109.9,101
2019-01-28,6,39109.9,101
2019-01-28,7,41380.7,102
2019-01-28,8,41380.7,102
2019-01-28,9,39529.9,101
2019-01-28,10,38195.3,100
2019-01-28,11,35476.1,98
2019-01-28,12,33742.1,97
2019-01-28,13,30846.0,92
2019-01-28,14,31181.1,94
2019-01-28,15,30328.9,93
2019-01-28,16,32179.7,94
2019-01-28,17,33111.7,95
2019-01-28,18,37459.9,99
2019-01-28,19,37459.9,99
2019-01-28,20,36924.4,98
2019-01-28,21,36260.9,96
2019-01-28,22,33533.5,94
2019-01-28,23,30809.1,91
2019-01-29,0,30920.7,91
2019-01-29,1,30636.3,90
2019-01-29,2,31622.1,90
2019-01-29,3,35535.3,96
2019-01-29,4,40383.7,102
2019-01-29,5,47639.8,106
2019-01-29,6,52137.3,111
2019-01-29,7,52137.3,111
2019-01-29,8,51459.2,110
2019-01-29,9,51459.2,110
2019-01-29,10,46789.3,108
2019-01-29,11,43785.7,106
2019-01-29,12,41250.7,104
2019-01-29,13,36410.1,98
2019-01-29,14,34614.7,97
2019-01-29,15,33299.9,96
2019-01-29,16,35784.7,98
2019-01-29,17,40958.2,103
2019-01-29,18,44966.6,104
2019-01-29,19,46817.4,105
2019-01-29,20,46817.4,105
2019-01-29,21,44305.1,103
2019-01-29,22,44305.1,103
2019-01-29,23,42571.1,102
2019-01-30,0,39363.7,102
2019-01-30,1,39363.7,102
2019-01-30,2,40343.7,104
2019-01-30,3,41496.5,105
2019-01-30,4,44033.7,107
2019-01-30,5,50696.1,110
2019-01-30,6,52439.8,112
2019-01-30,7,51636.6,111
2019-01-30,8,51636.6,111
2019-01-30,9,50784.4,110
2019-01-30,10,49702.2,109
2019-01-30,11,45693.8,108
2019-01-30,12,42553.2,105
2019-01-30,13,37740.5,99
2019-01-30,14,34845.7,96
2019-01-30,15,33111.7,95
2019-01-30,16,34757.1,95
2019-01-30,17,39193.9,100
2019-01-30,18,42376.4,104
2019-01-30,19,42946.4,105
2019-01-30,20,42946.4,105
2019-01-30,21,40678.5,102
2019-01-30,22,38270.1,99
2019-01-30,23,34757.1,95
2019-01-31,0,33651.1,95
2019-01-31,1,33651.1,95
2019-01-31,2,32933.9,93
2019-01-31,3,34879.3,95
2019-01-31,4,35061.0,96
2019-01-31,5,39193.9,100
2019-01-31,6,40108.5,101
2019-01-31,7,40108.5,101
2019-01-31,8,40108.5,101
2019-01-31,9,38100.6,98
2019-01-31,10,38270.1,99
2019-01-31,11,35976.8,97
2019-01-31,12,35976.8,97
2019-01-31,13,34242.8,96
2019-01-31,14,34242.8,96
2019-01-31,15,32078.3,93
2019-01-31,16,34740.7,97
2019-01-31,17,38374.5,100
2019-01-31,18,41481.7,103
2019-01-31,19,41481.7,103
2019-01-31,20,41481.7,103
2019-01-31,21,38944.5,101
2019-01-31,22,34242.8,96
2019-01-31,23,32875.1,94
2019-02-01,0,30141.5,91
2019-02-01,1,27873.3,89
2019-02-01,2,28688.3,90
2019-02-01,3,30333.7,92
2019-02-01,4,31937.7,94
2019-02-01,5,38037.4,101
2019-02-01,6,39771.4,102
2019-02-01,7,39771.4,102
2019-02-01,8,39771.4,102
2019-02-01,9,39771.4,102
