ruc_date,final_gap_pct,sol_count,status,solve_time_s,ruc_cost
2019-02-24,3.5466,10,TIME_LIMIT,129.28668570518494,11715657.17
2019-02-25,2.4659,9,TIME_LIMIT,250.5261263847351,13201785.93
2019-02-26,1.3699,10,TIME_LIMIT,250.6586995124817,10613136.08
2019-02-27,0.9611,6,OPTIMAL,449.0944285392761,11672257.86
2019-02-28,0.9467,10,OPTIMAL,140.56131315231323,22444143.85
2019-03-01,0.9932,10,OPTIMAL,222.06032133102417,19033945.37
2019-03-02,3.2548,10,TIME_LIMIT,129.02378106117249,13838072.36
2019-03-03,1.2999,10,TIME_LIMIT,131.32196474075317,16303817.8
2019-03-04,0.9088,2,OPTIMAL,131.67972111701965,94156718.27
2019-03-05,0.9529,9,OPTIMAL,164.62901759147644,103256341.74
2019-03-06,1.048,10,TIME_LIMIT,372.29220271110535,35960240.21
2019-03-07,2.1756,3,TIME_LIMIT,611.4566028118134,11581021.84
2019-03-08,3.2019,10,TIME_LIMIT,250.2163188457489,8599987.88
2019-03-09,0.9835,5,OPTIMAL,252.9852488040924,9507437.25
2019-03-10,0.9652,10,OPTIMAL,78.04354190826416,8464950.09
2019-03-11,3.0561,10,TIME_LIMIT,250.85371017456055,10379046.43
2019-03-12,0.9616,10,OPTIMAL,345.7781574726105,10057922.22
2019-03-13,1.7217,10,TIME_LIMIT,131.2925717830658,9508732.67
2019-03-14,0.9944,4,OPTIMAL,117.61244535446167,8539786.68
2019-03-15,1.7526,10,TIME_LIMIT,128.63110494613647,11172484.73
2019-03-16,1.7308,10,TIME_LIMIT,129.83757495880127,13254650.14
2019-03-17,1.2894,10,TIME_LIMIT,251.26242017745972,12133152.05
2019-03-18,2.827,10,TIME_LIMIT,130.0907051563263,13159079.21
2019-03-19,0.9999,10,OPTIMAL,223.05500054359436,10498316.57
2019-03-20,1.1374,7,TIME_LIMIT,369.41746282577515,12466094.72
2019-03-21,0.9998,6,OPTIMAL,257.07966136932373,12166421.04
2019-03-22,1.8387,10,TIME_LIMIT,252.97913670539856,8485999.86
2019-03-23,0.5949,10,OPTIMAL,60.181445837020874,6339339.32
2019-03-24,0.9609,2,OPTIMAL,79.78832292556763,8197492.09
2019-03-25,0.8723,2,OPTIMAL,181.04687666893005,10023225.3
2019-03-26,0.9337,10,OPTIMAL,367.89203810691833,8754933.11
2019-03-27,2.6836,10,TIME_LIMIT,370.7700848579407,7663769.34
2019-03-28,4.9031,10,TIME_LIMIT,370.7789030075073,7299814.48
2019-03-29,1.0639,10,TIME_LIMIT,339.36890506744385,7390265.26
2019-03-30,2.0494,10,TIME_LIMIT,335.6341972351074,7351606.48
2019-03-31,1.5868,10,TIME_LIMIT,129.75275182724,10507607.31
2019-04-01,1.0543,10,TIME_LIMIT,249.78399181365967,14571843.48
2019-04-02,2.7607,10,TIME_LIMIT,610.0864508152008,10846147.07
2019-04-03,0.948,10,OPTIMAL,190.6387746334076,7538049.8
2019-04-04,0.9963,5,OPTIMAL,297.4660017490387,11921871.67
2019-04-05,1.8722,8,TIME_LIMIT,249.71655750274658,10409546.35
2019-04-06,0.879,7,OPTIMAL,202.13251376152039,8920347.62
2019-04-07,0.9405,10,OPTIMAL,221.8798544406891,10041536.98
2019-04-08,0.9937,10,OPTIMAL,204.26561331748962,13267534.56
2019-04-09,1.0766,2,TIME_LIMIT,488.2763783931732,11635515.52
2019-04-10,2.0563,10,TIME_LIMIT,360.95969009399414,11291104.21
2019-04-11,0.8477,10,OPTIMAL,246.5340485572815,10586117.52
2019-04-12,0.9997,2,OPTIMAL,166.82126355171204,8132131.39
2019-04-13,1.0608,10,TIME_LIMIT,235.4062261581421,7340894.73
2019-04-14,0.9563,10,OPTIMAL,241.1983199119568,7909191.42
2019-04-15,2.0779,10,TIME_LIMIT,370.8685178756714,7742069.34
2019-04-16,3.127,10,TIME_LIMIT,250.8660273551941,8201170.28
2019-04-17,1.0714,10,TIME_LIMIT,250.05359959602356,10054747.42
2019-04-18,1.9375,10,TIME_LIMIT,217.8519265651703,9136501.49
2019-04-19,0.9639,3,OPTIMAL,153.51502895355225,9228509.92
2019-04-20,0.9554,10,OPTIMAL,205.89948058128357,7240284.96
2019-04-21,0.9318,10,OPTIMAL,65.41449332237244,6333775.84
2019-04-22,1.234,10,TIME_LIMIT,370.3927547931671,9288618.27
2019-04-23,2.7656,10,TIME_LIMIT,251.92930102348328,9830344.64
2019-04-24,0.877,10,OPTIMAL,215.77015614509583,11934123.72
2019-04-25,0.9866,5,OPTIMAL,201.2958209514618,12835631.92
2019-04-26,0.8718,3,OPTIMAL,333.5842924118042,11416521.61
2019-04-27,6.7857,10,TIME_LIMIT,130.33405780792236,10101670.12
2019-04-28,0.906,5,OPTIMAL,201.56642961502075,9187108.41
2019-04-29,1.2209,10,TIME_LIMIT,374.70819330215454,11661256.77
2019-04-30,0.9275,10,OPTIMAL,359.43913888931274,12441540.55
2019-05-01,1.1047,10,TIME_LIMIT,131.5619649887085,13790096.16
2019-05-02,0.9954,10,OPTIMAL,223.00743460655212,10652694.36
2019-05-03,1.0164,10,TIME_LIMIT,251.7630000114441,11881065.24
2019-05-04,0.8057,10,OPTIMAL,226.10501766204834,11406314.15
2019-05-05,0.9637,3,OPTIMAL,240.810364484787,10057968.8
2019-05-06,1.3742,9,TIME_LIMIT,250.00157570838928,12084098.16
2019-05-07,0.9017,10,OPTIMAL,242.35833525657654,12278806.5
2019-05-08,2.9872,10,TIME_LIMIT,249.62429451942444,11423742.54
2019-05-09,0.9992,7,OPTIMAL,232.86128735542297,11314970.25
2019-05-10,0.9583,10,OPTIMAL,322.9065148830414,8824108.86
2019-05-11,0.9848,10,OPTIMAL,220.31080150604248,10179942.05
2019-05-12,0.9856,3,OPTIMAL,185.32191848754883,10260039.42
2019-05-13,0.9998,8,OPTIMAL,149.51155829429626,12493218.08
2019-05-14,0.987,6,OPTIMAL,293.41317534446716,14598006.16
2019-05-15,0.9043,8,OPTIMAL,189.26007795333862,15878441.49
2019-05-16,0.8813,10,OPTIMAL,117.1172182559967,14038986.47
2019-05-17,0.9811,10,OPTIMAL,135.90217113494873,13838031.22
2019-05-18,2.5768,10,TIME_LIMIT,249.9663369655609,12382002.95
2019-05-19,1.3702,10,TIME_LIMIT,595.1533703804016,14322255.43
