ruc_date,final_gap_pct,sol_count,status,solve_time_s,ruc_cost
2019-03-16,1.2028,10,TIME_LIMIT,125.81143689155579,13185425.47
2019-03-17,0.9933,7,OPTIMAL,131.47522163391113,12153523.84
2019-03-18,0.9431,10,OPTIMAL,102.62368702888489,13077499.96
2019-03-19,0.9597,10,OPTIMAL,83.51654696464539,10606820.42
2019-03-20,0.948,3,OPTIMAL,163.38095903396606,12486638.03
2019-03-21,0.9888,10,OPTIMAL,59.7520968914032,12144671.28
2019-03-22,0.9962,10,OPTIMAL,133.9071729183197,8583778.93
2019-03-23,0.8988,10,OPTIMAL,19.153640747070312,6502964.62
2019-03-24,0.9554,2,OPTIMAL,23.51416325569153,8353594.27
2019-03-25,0.9556,6,OPTIMAL,75.97827434539795,10143598.31
2019-03-26,0.9638,6,OPTIMAL,182.21975922584534,8899706.49
2019-03-27,0.8073,9,OPTIMAL,246.78558564186096,7739476.45
2019-03-28,0.9449,10,OPTIMAL,244.71722030639648,7346486.18
2019-03-29,0.9692,10,OPTIMAL,31.59936261177063,7536958.17
2019-03-30,0.9123,10,OPTIMAL,206.53244280815125,7480696.62
2019-03-31,0.9954,10,OPTIMAL,105.33805680274963,10562355.04
2019-04-01,0.9579,8,OPTIMAL,87.58231997489929,14662076.25
2019-04-02,1.4594,3,TIME_LIMIT,480.7471761703491,10921924.43
2019-04-03,0.951,10,OPTIMAL,130.01351618766785,7681611.4
2019-04-04,0.9695,5,OPTIMAL,141.38977360725403,11973780.57
2019-04-05,0.9762,10,OPTIMAL,272.1516227722168,10515079.99
2019-04-06,0.7338,9,OPTIMAL,53.69553565979004,9057514.43
2019-04-07,0.7954,10,OPTIMAL,25.26804208755493,10165057.18
2019-04-08,0.7179,10,OPTIMAL,81.45327854156494,13235403.64
2019-04-09,0.9966,4,OPTIMAL,168.40441250801086,11798613.44
2019-04-10,1.2011,10,TIME_LIMIT,125.4858124256134,11461621.16
2019-04-11,0.9301,9,OPTIMAL,178.8911395072937,10631947.37
2019-04-12,0.9001,10,OPTIMAL,39.34941077232361,8286934.26
2019-04-13,0.9084,10,OPTIMAL,50.8321430683136,7397563.41
2019-04-14,0.9915,10,OPTIMAL,92.62950921058655,8034788.29
2019-04-15,0.931,10,OPTIMAL,221.46355175971985,7873443.33
2019-04-16,1.1061,10,TIME_LIMIT,318.2643873691559,8304425.4
2019-04-17,0.9872,10,OPTIMAL,138.4638147354126,10228014.72
2019-04-18,0.8697,3,OPTIMAL,95.30359697341919,9250153.64
2019-04-19,0.9448,3,OPTIMAL,26.986443519592285,9316497.61
2019-04-20,0.8692,8,OPTIMAL,124.94805312156677,7343900.19
2019-04-21,0.8645,10,OPTIMAL,29.501060247421265,6465247.32
2019-04-22,1.4143,10,TIME_LIMIT,125.63502907752991,9436872.08
2019-04-23,0.9303,10,OPTIMAL,139.631609916687,9916938.78
2019-04-24,0.9998,6,OPTIMAL,54.80569362640381,11880617.36
2019-04-25,0.9764,7,OPTIMAL,82.24309372901917,12899187.89
2019-04-26,0.8469,7,OPTIMAL,115.28583574295044,11489390.61
2019-04-27,0.8969,10,OPTIMAL,195.72699403762817,9781835.47
2019-04-28,0.9515,4,OPTIMAL,45.7825710773468,9034900.61
2019-04-29,0.9999,10,OPTIMAL,65.14309072494507,11844439.18
2019-04-30,0.9556,10,OPTIMAL,165.95157289505005,12619334.39
2019-05-01,0.9677,10,OPTIMAL,38.72117853164673,14046830.5
2019-05-02,0.9857,6,OPTIMAL,102.78426861763,10826782.95
2019-05-03,0.9705,10,OPTIMAL,118.01565361022949,11949006.3
2019-05-04,0.9998,7,OPTIMAL,53.32506823539734,11454873.59
2019-05-05,0.7751,10,OPTIMAL,101.47195053100586,10201932.99
2019-05-06,0.9784,10,OPTIMAL,48.60718369483948,12229388.83
2019-05-07,0.9771,10,OPTIMAL,42.03257989883423,12448678.51
2019-05-08,0.9907,10,OPTIMAL,300.5611763000488,11356312.97
2019-05-09,0.9984,7,OPTIMAL,177.36346316337585,11402236.57
2019-05-10,0.9737,10,OPTIMAL,189.62663316726685,8883655.98
2019-05-11,0.9838,10,OPTIMAL,105.62719988822937,10250082.79
2019-05-12,0.9999,10,OPTIMAL,63.12330198287964,10260262.45
2019-05-13,0.9797,6,OPTIMAL,56.02884316444397,12575535.31
2019-05-14,0.9808,9,OPTIMAL,70.88201665878296,14683237.67
2019-05-15,0.9607,10,OPTIMAL,62.27407765388489,15983498.74
2019-05-16,0.9729,5,OPTIMAL,35.511584758758545,14198115.84
2019-05-17,0.8877,10,OPTIMAL,58.115835666656494,14021310.17
2019-05-18,1.8845,10,TIME_LIMIT,245.0374104976654,12427057.9
2019-05-19,0.9534,5,OPTIMAL,118.3585352897644,14482481.46
2019-05-20,0.9577,10,OPTIMAL,87.14704203605652,19539676.84
2019-05-21,1.7708,10,TIME_LIMIT,486.329528093338,15226918.91
2019-05-22,0.9936,10,OPTIMAL,122.23759746551514,18768030.36
2019-05-23,0.9413,10,OPTIMAL,133.07245755195618,22629302.71
2019-05-24,0.9852,10,OPTIMAL,117.13261222839355,20039531.01
2019-05-25,0.9638,10,OPTIMAL,477.56729459762573,16968964.25
2019-05-26,0.9425,10,OPTIMAL,132.66448307037354,14455764.35
2019-05-27,0.9358,2,OPTIMAL,167.17297267913818,15250222.5
2019-05-28,0.9961,8,OPTIMAL,105.49638485908508,18057462.54
2019-05-29,0.996,5,OPTIMAL,150.33869409561157,19289857.75
2019-05-30,0.9964,8,OPTIMAL,72.14493250846863,17792824.97
2019-05-31,0.9826,6,OPTIMAL,247.92530727386475,17355380.34
2019-06-01,0.9567,10,OPTIMAL,91.78739380836487,20114165.24
2019-06-02,0.8695,10,OPTIMAL,131.9605929851532,16116482.83
2019-06-03,0.9072,10,OPTIMAL,47.69602966308594,69470846.88
2019-06-04,0.9234,10,OPTIMAL,11.011645793914795,93869800.02
2019-06-05,0.913,10,OPTIMAL,66.82198810577393,49023312.08
2019-06-06,0.9494,1,OPTIMAL,98.56258153915405,23685735.01
2019-06-07,0.9876,4,OPTIMAL,62.527764558792114,22052049.84
2019-06-08,0.9944,9,OPTIMAL,170.75507473945618,25611029.65
2019-06-09,0.9999,5,OPTIMAL,81.50463795661926,20160589.82
2019-06-10,0.9782,3,OPTIMAL,407.9305806159973,18029300.13
2019-06-11,0.9392,10,OPTIMAL,117.37540173530579,16805847.5
2019-06-12,0.9999,10,OPTIMAL,104.22464084625244,18344711.99
2019-06-13,0.9999,7,OPTIMAL,64.90705251693726,19527883.18
2019-06-14,1.1076,10,TIME_LIMIT,245.05572533607483,20017790.01
2019-06-15,0.9528,10,OPTIMAL,169.37626695632935,22704519.43
2019-06-16,1.1482,10,TIME_LIMIT,246.08995270729065,14995986.29
2019-06-17,0.9621,8,OPTIMAL,239.1627218723297,19877657.03
2019-06-18,0.9667,10,OPTIMAL,50.32661294937134,67909703.29
2019-06-19,0.9998,2,OPTIMAL,31.266291618347168,102185906.27
2019-06-20,0.7161,10,OPTIMAL,10.161754608154297,103753948.43
2019-06-21,0.3628,4,OPTIMAL,19.1680006980896,907304246.51
2019-06-22,0.9992,5,OPTIMAL,37.246939182281494,23847861.73
2019-06-23,0.9701,5,OPTIMAL,42.85505795478821,67918316.15
2019-06-24,0.6209,10,OPTIMAL,30.857248783111572,92330348.75
2019-06-25,0.8243,10,OPTIMAL,46.65529441833496,55692990.65
2019-06-26,0.9988,9,OPTIMAL,79.30129313468933,42678907.03
2019-06-27,0.9999,2,OPTIMAL,20.091317653656006,125693887.88
2019-06-28,0.9998,3,OPTIMAL,43.70647120475769,78870910.56
2019-06-29,0.5687,10,OPTIMAL,38.62575387954712,97193301.23
2019-06-30,0.9952,10,OPTIMAL,64.42510271072388,39974882.26
2019-07-01,0.7403,10,OPTIMAL,16.15270447731018,98165554.28
2019-07-02,0.9991,4,OPTIMAL,54.85058641433716,68812598.48
2019-07-03,0.8807,10,OPTIMAL,59.72502541542053,94784155.48
2019-07-04,0.9776,10,OPTIMAL,249.18929624557495,50758813.71
2019-07-05,0.6455,2,OPTIMAL,21.49984860420227,287217545.73
2019-07-06,0.7732,2,OPTIMAL,16.556310415267944,159302519.82
2019-07-07,0.6587,2,OPTIMAL,23.814461708068848,100585116.3
2019-07-08,0.9997,7,OPTIMAL,37.039318799972534,63772361.22
2019-07-09,0.9017,2,OPTIMAL,15.161582946777344,1909394070.38
2019-07-10,0.9718,2,OPTIMAL,18.772053241729736,3414411192.18
2019-07-11,0.929,10,OPTIMAL,40.405972957611084,118137428.02
2019-07-12,0.9835,2,OPTIMAL,21.802915811538696,68576400.75
2019-07-13,0.9694,8,OPTIMAL,87.42083764076233,27505852.11
2019-07-14,0.9835,2,OPTIMAL,288.4407207965851,22697570.97
2019-07-15,0.9991,2,OPTIMAL,29.437317609786987,81659992.15
2019-07-16,0.4196,2,OPTIMAL,14.565021991729736,697189374.58
2019-07-17,0.7618,2,OPTIMAL,22.534305095672607,187982935.98
2019-07-18,0.0309,10,OPTIMAL,11.959489107131958,1523335504.57
2019-07-19,0.4232,10,OPTIMAL,13.507099628448486,1461341123.11
2019-07-20,0.4707,10,OPTIMAL,18.28651475906372,90843746.43
2019-07-21,0.8803,2,OPTIMAL,54.056533098220825,111172712.69
2019-07-22,0.9846,8,OPTIMAL,26.355913877487183,66079694.25
2019-07-23,0.9766,2,OPTIMAL,54.978996992111206,25091968.45
2019-07-24,0.9211,10,OPTIMAL,40.11600065231323,26919544.5
2019-07-25,0.9908,10,OPTIMAL,39.615638732910156,22960435.79
2019-07-26,0.8713,10,OPTIMAL,35.172529458999634,25582654.92
2019-07-27,0.9465,10,OPTIMAL,48.94821214675903,68324068.96
2019-07-28,0.896,2,OPTIMAL,31.930389881134033,99562156.74
2019-07-29,0.6434,7,OPTIMAL,49.15769076347351,70626592.66
2019-07-30,0.9298,2,OPTIMAL,38.60677480697632,4015205446.85
